Abisara attenuata;"Arunachal Pradesh, India, Changlang District, Namdapha NP, Deban"
Charaxes bharata;"Tamhini Ghat, Coimbatore District, South Garo Hills District, West Seijosa, Dehradun, Iruppu Falls, Kerala, Pabung Khola, Changlang District, Baghmundi, Lunglei District, Tamhanmala, Mannarappara, Buxa TR, Wildlife Institute Of India, Dimapur, Paschimbanga, Jalpaiguri District, Tamil Nadu, East Godavari District, Mayurbhanj District, Pathanamthitta District, Mudumalai NP, Bengaluru Urban District, Puruliya District, Siruvani, Shirkoli, Someshwara WLS, Manipur, Andhra Pradesh, Pune, Thrissur District, Amboli, Chiplun, Dombivli, Sholayar Reserve Forest, East Kameng District, Konni, Matheran, IIT Bombay, Chembala, Dimapur District, Turahalli RF, Ramakkalmedu, Hoollongapar Gibbon Sanctuary, Jayanti, Dehradun District, Baghmara RF, Kovai Kutralam, Pelhar Dam, Simlipal NP, Pakke TR, Savandurga SF, Bannerghatta RF, Idukki District, Pune District, Assam, Geyzing, India, Maredumilli, Gorumara NP, Senapati District, Mizoram, Jorhat District, Cherrapunjee, Meghalaya, Kasaragod District, Kumbharli Ghat, Arunachal Pradesh, Kakkavayal, Jashipur, South Sikkim District, Bengaluru  Rural District, Sanjay Gandhi NP, Karnataka, Vadakara, Kudlu Teertha, Ratnagiri District, Pithabata River, Kodagu District, Biodiversity Park, Alipurduar District, Neerchal, Namdapha NP, Yeoor, East Khasi Hills District, Maharashtra, Panshet Catchment, Satara District, Kannur  District, Kozhikode District, Wasota, Lunglei, Block - Velhe, Uttarakhand, Deban, Karwani, Chakrata, Sikkim, Senapati, Udupi District, Sindhudurg District, Nagaland, Raigad District, Ramsai Butterfly Conservatory, Odisha, Thane District, Nilgiri District, Mumbai Suburban District, Powai, 23rd Mile, Aralam WLS, Magadi Taluk, Benog WLS, Lulung Check Gate, Vasai, Thusharigiri Falls, West Sikkim District, Tungareshwar WLS"
Charaxes delphis;"Karwani, Baghmara RF, South Garo Hills District, Meghalaya, Siju WLS, India"
Charaxes dolon;"West Kameng District, Lower Mukrung, Dzulekie, Sohra, Mahesh Khan Forest, Central zone, Uttarakhand, Sikkim, Maraikaphon, Lower Subansiri District, Punakha District, Nagaland, Kohima District, Nainital District, Kalej Khola, Talley WLS, India, East Khasi Hills District, Meghalaya, West Sikkim District, Eaglenest WLS, Jigme Dorji National Park, Arunachal Pradesh, Bhutan"
Charaxes eudamippus;"Aizwal-Reiek Road, Balpakram NP, South Garo Hills District, North Sikkim District, Changlang District, Jayanti, Deban, Sikkim, Namprikdang, Pakke TR, Pasingdang, Buxa TR, Aizawl District, Vaipuanpho Camp, Dibrugarh District, Tingvong, Mahesh Khola, Paschimbanga, Dzongu, Upper Dzongu, Tlawang River, Alipurduar District, Assam, Besho, Gongrot, Namdapha NP, India, Tingvong-Lingzya, Manipur, Senapati District, Mizoram, Jeypore RF, Meghalaya, East Kameng District, Arunachal Pradesh, Ring Khola"
Charaxes kahruba;"near Seijosa, Balpakram NP, Dehing Patkai WLS, South Garo Hills District, Hoollongapar Gibbon Sanctuary, Jayanti, Baghmara RF, Karwani, Ultapani, Sukhanala, Pakke TR, Buxa TR, Khadi (Khari), Dibrugarh District, Paschimbanga, Nagaland, West Bank to Jolly track, Alipurduar District, Assam, Gongrot, India, Taidang stream, Intanki NP, Peren District, Jorhat District, Jeypore RF, Tinsukia District, Meghalaya, East Kameng District, Arunachal Pradesh, Kokrajhar District"
Charaxes marmax;"Balpakram NP, South Garo Hills District, Lunkai Nullah, Hoollongapar Gibbon Sanctuary, Changlang District, Jayanti, Panda, Baghmara RF, Karwani, Pakke TR, Buxa TR, Mahesh Khola, Paschimbanga, Bongaigaon District, West Bank to Jolly track, Alipurduar District, Assam, Gongrot, Bhumeswar Hill, Namdapha NP, India, Jorhat District, Meghalaya, East Kameng District, Arunachal Pradesh"
Charaxes moori;"Panda, Rajabhatkhawa, Baghmara RF, Karwani, Balpakram NP, Jalpaiguri District, South Garo Hills District, Alipurduar District, Buxa TR, Meghalaya, Gongrot, Paschimbanga, India, Gorumara NP"
Charaxes narcaeus;"Nagaland, Kohima District, India, Dzulekie"
Charaxes psaphon;"Matheran, Kakkavayal, Gondiya District, Kerala, Sanjay Gandhi NP, Karnataka, Udupi District, Kanha NP, Ratnagiri District, Sangameshwar,, Raigad District, Sindhudurg District, Fansavale, Alappuzha District, East Godavari District, Biodiversity Park, Pattanakkad, Madhya Pradesh, Thane District, Mumbai Suburban District, Gondia, India, Maredumilli, Yeoor, Someshwara WLS, Mandla District, Andhra Pradesh, Maharashtra, Aralam WLS, Amboli, Kannur  District, Kozhikode District, Chiplun, Tungareshwar WLS"
Charaxes schreiber;"Kendrapara District, Makutta, Odisha, Valparai, Coimbatore District, Karnataka, Kumta, Muroor, Castlerock, Bhitarkanika NP, Tamil Nadu, India, Kodagu District, Uttara Kannada District"
Charaxes solon;"South Garo Hills District, Krishna Raja Puram Lake, Hyderabad, Kerala, Tirunelveli District, Buxa TR, Paschimbanga, Silvassa, Tamil Nadu, East Godavari District, Goa, Bengaluru Urban District, Hanging Gardens, Songaon, Someshwara WLS, Malabar Hills, Andhra Pradesh, Bongaigaon, Nabagram, Dombivli, Matheran, IIT Bombay, Bankura District, Turahalli RF, Jayanti, Panda, Savandurga SF, Pelhar Dam, Hyderabad Urban District, Adyar Poonga, Near Satpool, Bongaigaon District, Pune District, Assam, Ovalekar Wadi Butterfly Park, India, Maredumilli, Telangana, Panshet, Valley School, Meghalaya, Surat District, Nehru Zoological park, Gavier lake, Jaguli, Raibaghini, Bengaluru  Rural District, Nadia District, Chandannagar, Hooghly District, Ayyanar Falls, Sanjay Gandhi NP, Karnataka, Dadra & Nagar Haveli, Mahavir Harina Vanasthali NP, Satpool, Ratnagiri District, Jawahar Deer Park, Maharashtra Nature Park, Bhesan, Alipurduar District, Chikkamagaluru District, Yeoor, Rangareddi District, Mumbai City District, Maharashtra, Virudhunagar District, Kokrajhar District, Kottakkunnu, Hussain Sagar Lake, Dadra and Nagar Haveli District, South Goa District, Gujarat, Skandagiri Hills, Chakrashila WLS, Udupi District, Cotigao WLS, Malappuram District, Raigad District, Chennai District, Thane District, Siju WLS, Mumbai Suburban District, Sinhagad, Pelhar, Powai, Singampatti, Magadi Taluk, Vasai"
Cheritra freja;"Manas NP, Tongkolong WLS, Vilangad, Perambra, Aizwal-Reiek Road, South Garo Hills District, Kakkavayal, Dimapur District, Bhagwan Mahaveer WLS, Kalakkad Mundanthurai Tiger Reserve, Shendurney WLS, Baramura Hill, South Goa District, Kerala, Lunkai Nullah, Tirunelveli District, Changlang District, Hoollongapar Gibbon Sanctuary, Nongriat, Halgeri, Deban, Baghmara RF, Karwani, Tripura, Pakke TR, Karnataka, Ernakulam District, Buxa TR, Aizawl District, Rosemala, Vaipuanpho Camp, Udupi District, Kudlu Teertha, Dibrugarh District, Baksa District, Malappuram District, Paschimbanga, Mara Autonomous District, Dimapur, Tamil Nadu, Alappuzha District, Nagaland, Jalpaiguri District, Sindhudurg District, Uttara Kannada District, Biodiversity Park, Alipurduar District, Goa, Siddapur, Assam, Namdapha NP, Gairkata, India, Manjolai, Thamarakulam Village, Thattekad, Madhubani Forest, Mizoram, East Khasi Hills District, Maharashtra, Aralam WLS, Jorhat District, Amboli, Jeypore RF, Kozhikode District, Kannur  District, Dhuna Nala, Meghalaya, Chilapata WLS, Khowai District, East Kameng District, Jokai Reserve Forest, Arunachal Pradesh, Kollam District, Salim Ali Bird Sanctuary, Nilambur"
Cheritrella truncipennis;"Yuksum, India, Sikkim, West Sikkim District"
Chersonesia intermedia;"Mizoram, Pakke TR, Aizawl District, Assam, Behali RF, Makunda Christian Hospital, Aizwal, Karimganj District, Khadi (Khari), East Kameng District, Dhuna Nala, Sonitpur District, Arunachal Pradesh, India"
Chersonesia risa;"Lingdong, Haldibari, Balpakram NP, South Garo Hills District, West Kameng District, Rangitnagar, South Sikkim District, Phura, Pabung Khola, North Sikkim District, Elephant Conservation Reserve, Changlang District, Hoollongapar Gibbon Sanctuary, Jayanti, Nongriat, Deban, Sessa to Bhalukpong Road, Sikkim, Namprikdang, Pasingdang, Buxa TR, Mawkdok, Dibrugarh District, Mara Autonomous District, Paschimbanga, Dzongu, Upper Dzongu, Alipurduar District, Digboi, Mawlong-Terna Road, Assam, Siju WLS, Gongrot, Namdapha NP, India, Rajabhatkhawa, Mizoram, Anamika Falls, East Khasi Hills District, Jorhat District, Jeypore RF, Tinsukia District, Cherrapunjee, Meghalaya, Jeypore-Dehing , Arunachal Pradesh"
Chilades lajus;"Manas NP, Devgad, Coimbatore District, South Garo Hills District, Devarayanadurga, Cauvery WLS, Goverment Guest House, Kerala, Kailasagiri, North 24 Parganas District, Changlang District, Whitefield, Camp Geedee, Kamrup District, Haveri District, Mandya District, Buxa TR, Arunagiri Forest Park, Umaria District, Baksa District, Paschimbanga, Silvassa, Tamil Nadu, Gadchiroli District, Kanakpura Taluk, Bengaluru Urban District, Cooch Behar, Manipur, Gumalapuram Village, Andhra Pradesh, Pune, Salt Lake, Nabagram, Chiplun, Anaibethella Beat, Prantik, Andaman and Nicobar Islands, Byadgi Taluk, Armori, Aurangabad, Nashik, IIT Bombay, Bansbari Range, Balpakram NP, Umamaheswaram Temple, Kallar, Satara, Galibore Fishing Camp, Jayanti, ANET, South Andaman District, Karnala Bird Sanctuary, Nimmakuru Village, Tripura, Savandurga SF, Cooch Behar District, Dundigal Village, Vishakhapatnam District, Thiruvananthapuram  District, Pune District, Assam, Ovalekar Wadi Butterfly Park, Gongrot, Mahananda WLS, Mahbubnagar District, India, Channasandra, Telangana, VidyaVihar, Himayat Bagh, Senapati District, Bengaluru, North Wandoor, Kallikad, Valley School, Ganganahally, Ramanattukara, Meghalaya, Chelembra, Surat District, Alibag, Arunachal Pradesh, Simhachalam, Tiruvanamala District, Gavier lake, Gotheghar, Aurangabad District, Somaiya College Campus, Baramura Hill, Bandhavgarh NP, Bengaluru  Rural District, Pyramid Valley, Chandannagar, Kolkata District, Hooghly District, Darjeeling District, Ramnagar district, Ragihalli, Karnataka, Dadra & Nagar Haveli, Guindy NP, Ratnagiri District, Nashik District, Bongaon, Birbhum District, Maharashtra Nature Park, Alipurduar District, Namdapha NP, Rangareddi District, Mumbai City District, Maharashtra, Satara District, Kannur  District, Kadaramandalagi, Kozhikode District, J.P. Nagar RF, Kanakeshwar, Assam State Zoo, Tirupati, Araku valley, Near Bio Veda Retreat, Pashan, Dadra and Nagar Haveli District, Khowai, Gujarat, Deban, Sukna, Kolkata, Senapati, Krishnagiri District, Krishna District, Malappuram District, Raigad District, Sindhudurg District, Chittoor District, Chennai District, Tala, Government Horticultural Garden, Madhya Pradesh, Thane District, Tumkur District, Barrackpore, Mumbai Suburban District, Shantiniketan, Guwahati, Ponmudi, Powai, Aralam WLS, Magadi Taluk, Khowai District, Ratnagiri"
Chilades pandava;"Sukhana Lake, Chandigarh, Perambra, Devgad, Kerala, Tirumala Tirupati, Thiruvananthapuram, Kanyakumari Town, Sarusajai,Guwahati, Nuripara, Camp Geedee, Eden Gardens Park, Kamrup District, Chikkaballapur District, Dhaka, Paschimbanga, Tamil Nadu, East Godavari District, Mayurbhanj District, Shibpur, Bengaluru Urban District, Hanging Gardens, Rani, Malabar Hills, Krishnanagar, Andhra Pradesh, Pune, Bongaigaon, Salt Lake, Amboli, Chiplun, Dombivli, New Delhi, Prantik, Andaman and Nicobar Islands, IIT Bombay, New Delhi District, Bankura District, Makutta, ANET, South Andaman District, Nandi Hills, Kanyakumari District, Simlipal NP, Phansad WLS (Supegaon End), Bongaigaon District, Vishakhapatnam District, Begur Hobli, Thiruvananthapuram  District, Venkulamedu, Neyyar WLS, Lakhpat Fort, North and Middle Andaman District, Pune District, Assam, India, Maredumilli, North Wandoor, Kutch District, Chandigarh District, Kasaragod District, Kumbharli Ghat, Rajapuram, Alibag, Gotheghar, Nadia District, Botanical Gardens, Kolkata District, Rabindra Sarobar, Jim Corbett NP, Cubbon Park, Sanjay Gandhi NP, Ragihalli, Karnataka, Sirsi, Ratnagiri District, Horticultural Gardens, Pithabata River, Kodagu District, Golapbag, Birbhum District, Maharashtra Nature Park, Mohor Kunjo, Yeoor, Durgapur, Bangladesh, Mumbai City District, Indiranagar, Maharashtra, Sector-26, Dhaninallah Mangrove Nature Walk, Kozhikode District, J.P. Nagar RF, Kanakeshwar, Alipore zoo, Garalia, Araku valley, Pashan, Gujarat, Uttarakhand, Gandhinagar District, Kolkata, Howrah District, Raipur, Raigad District, Sindhudurg District, National Botanical Garden, Uttara Kannada District, Murud-Janjira Taluka, Odisha, Chittoor District, Chennai District, Nainital District, Thane District, Butterfly Park, Serenity Library, Shantiniketan, Mumbai Suburban District, Bardhaman District, Powai, Haus Khas District Park, Lulung Check Gate, Dhaka district, Lalbagh Botanical Gardens, Delhi"
Chilades parrhasius;"Chandigarh, Coimbatore District, Gandhinagar, Pashan, Mysore District, Bengaluru  Rural District, Gujarat, Barkachha, Ettimadai, Satara, Gandhinagar District, nr Shivanasamudra, Savandurga SF, Karnataka, Mandya District, Rajkot District, Krishnagiri District, Lalitha Mahal Palace, Tamil Nadu, Hesaraghatta Lake, Hingolgadh Nature Education Sanctuary, Pandit Deendayal Petroleum University, Mudumalai NP, Pune District, Vanasthali Deer Park, Nilgiri District, Bengaluru Urban District, Serenity Library, India, RGSC BHU, Telangana, Patiala Ki Rao Reserved Forest, Rangareddi District, Chukki Mane, Hosur, Uttar Pradesh, Lingambudhi Lake, Gumalapuram Village, Pune, Maharashtra, Mirzapur District, Valley School, Satara District, Magadi Taluk, Chandigarh District, Ganganahally, J.P. Nagar RF, Mysore City"
Chitoria naga;"Nagaland, India, Zero point, Phek District, near Wehazio Village"
Chitoria ulpi;"Nagaland, India, Phek District, Chizami"
Choaspes benjaminii;"Didihat, South Garo Hills District, Kerala, Uttarakhand, Baghmara RF, Ultapani, Karnataka, Mathikettan Shola, Pithoragarh District, Wayanad WLS, Idukki District, Tamil Nadu, Kodagu District, Kodaikanal, Tadiandamol, Assam, Gavi, Adukkam Forest , Periyar TR, India, Wayanad District, Meghalaya, Dindigul District, Kokrajhar District"
Choaspes furcata;"Rajabhatkhawa, India, Alipurduar District, Buxa TR, Paschimbanga"
Choaspes stigmata;"Rajabhatkhawa, India, Alipurduar District, Buxa TR, Paschimbanga"
Chonala masoni;"Lachen, North Sikkim District, India, Sikkim"
Chrysozephyrus birupa;"Tehri Garhwal District, Binsar WLS, Dalhousie, Chamba District, Pauri Garhwal District, Devalsari, Almora District, Khirsu, Himachal Pradesh, India, Upper Bakrota, Uttarakhand"
Chrysozephyrus disparatus;"West Kameng District, Arunachal Pradesh, India, Tenga Valley"
Chrysozephyrus duma;"West Kameng District, Arunachal Pradesh, India, Lama Camp, Eaglenest WLS"
Chrysozephyrus syla;"Tehri Garhwal District, Bhimtal, Dhanaulti, Kalatop Khajjiar WLS, Nainital District, Dalhousie, Kilbury Divison, Chamba District, Himachal Pradesh, India, Upper Bakrota, Uttarakhand, Pangot"
Cirrochroa aoris;"near Seijosa, Balpakram NP, South Garo Hills District, Dimapur District, South Sikkim District, Pabung Khola, Elephant Conservation Reserve, Hoollongapar Gibbon Sanctuary, Changlang District, North Sikkim District, Deban, Baghmara RF, Karwani, Sikkim, Kamrup District, Namprikdang, Ultapani, Pakke TR, Sukhanala, Buxa TR, Dibrugarh District, Dimapur, Paschimbanga, Garbhanga Reserve Forest, Dzongu, Nagaland, Alipurduar District, CASFOS campus, Digboi, Assam, Mawlong-Terna Road, Gongrot, Namdapha NP, India, Guwahati, Langka, East Khasi Hills District, Burnihat, Jorhat District, Jeypore RF, Tinsukia District, Cherrapunjee, Meghalaya, Dhuna Nala, East Kameng District, Arunachal Pradesh, Kokrajhar District, Ring Khola"
Cirrochroa nicobarica;"Nicobar District, Great Nicobar Island, India, Andaman and Nicobar Islands, Campbell Bay"
Cirrochroa thais;"Kakkavayal, Kollam District, Shendurney WLS, Iruppu Falls, South Goa District, Kerala, Thenmala, Vithura, Karnataka, Vengurla, Kallar Eco Tourism Park, Rosemala, Udupi District, Cotigao WLS, Kudlu Teertha, Malappuram District, Cheruvannur, Idukki District, Sindhudurg District, Kodagu District, Biodiversity Park, Thiruvananthapuram  District, Goa, Radhanagari WLS, Periyar TR, India, North Goa District, Moozhikkal, Vaniyambalam, Maharashtra, Kolhapur District, Mhadei WLS, Amboli, Kozhikode District, Peppara WLS, Palaruvi Falls"
Cirrochroa tyche;"South Garo Hills District, Baramura Hill, Changlang District, Deban, South Andaman District, Baghmara RF, Karwani, Sikkim, Near Ferrargunj, Tripura, Pakke TR, Buxa TR, Khadi (Khari), Dibrugarh District, Paschimbanga, Alipurduar District, Assam, Namdapha NP, Geyzing, Mount Harriet NP, India, Meghalaya, Khowai District, East Kameng District, Jokai Reserve Forest, West Sikkim District, Arunachal Pradesh, Andaman and Nicobar Islands"
Coelites nothis;"Arunachal Pradesh, India, Changlang District, Namdapha NP, Anamika Falls"
Coladenia agni;"23rd Mile, Pakke TR, Alipurduar District, Buxa TR, East Kameng District, Paschimbanga, Namdapha NP, Arunachal Pradesh, India, Changlang District, Deban"
Coladenia agnioides;"India, Tura Peak, Meghalaya, West Garo Hills District"
Coladenia indrani;"Kottayam District, IIT Bombay, Gomati district, Kerala, Phansad WLS, Jayanti, Makutta, Tamhanmala, Sanjay Gandhi NP, Tripura, Nandi Hills, Karnataka, Bannerghatta RF, Buxa TR, Chikkaballapur District, Ri Bhoi District, Adyar Poonga, Malappuram District, Ratnagiri District, Paschimbanga, Nagla Block, Raigad District, Tamil Nadu, Bastar District, Kodagu District, Sindhudurg District, Uttara Kannada District, Chhattisgarh, Chennai District, Khoni Village, Thiruvananthapuram  District, Alipurduar District, Paham Village, Thane District, Madurai District, Bengaluru Urban District, Kumarakom, Kakkur, Mumbai Suburban District, Amarpur, India, Gokarna, Yeoor, Bastar, Powai, Saptur, Maharashtra, Amboli, Kozhikode District, J.P. Nagar RF, Meghalaya, Chelembra, Dombivli, Kanakeshwar, Chiplun, Alibag, Peppara WLS"
Colias erate;"Bhimtal, Police Line, Binsar WLS, Kathayat Bara Village, Nainital District, Jammu and Kashmir, Bageshwar District, Almora, Munsiyari, Pithoragarh District, Almora District, Nubra Valley, Kunjakharak, Sumoor, India, Ladakh (Leh) District, Uttarakhand"
Colias fieldii;"Didihat, Kathayat Bara Village, West Kameng District, Kapkote Village, Forest Research Institute, Dzulekie, Taluka Village, Shimla District, North Sikkim District, Darjeeling District, Jayanti, Uttarakhand, Neora Valley NP, Dehradun District, Sikkim, Mawkdok, Buxa TR, Rishop, Haripurdhar, Pithoragarh District, Tingvong, Paschimbanga, Himachal Pradesh, Bongaigaon District, Nagaland, Upper Dzongu, Kohima District, Nainital District, Sirmaur District, Uttarkashi District, Alipurduar District, Assam, India, Shimla, Bhimtal, Rajabhatkhawa, Darjeeling, East Khasi Hills District, Bongaigaon, Thangu, Bageshwar District, Cherrapunjee, Meghalaya, Eaglenest WLS, Arunachal Pradesh, Govind Pashu NP, Lama Camp, Khonoma"
